,Index,F,O,N,F+N,O+N,F+O,F+O+N,Total
0,ind_10,73272,18051,35565,44668.0,7618.0,25268.0,28932.0,233374.0
1,ind_20,64454,13413,29340,51617.0,6216.0,29036.0,39298.0,233374.0
2,ind_30,60006,10988,24675,55752.0,5614.0,30973.0,45366.0,233374.0
3,ind_40,56744,9549,20858,58687.0,5149.0,31813.0,50574.0,233374.0
4,ind_50,53408,8298,17497,61351.0,4827.0,32733.0,55260.0,233374.0
5,ind_60,50446,7502,15093,63071.0,4369.0,33397.0,59496.0,233374.0
6,ind_62,49961,7299,14655,63249.0,4274.0,33607.0,60329.0,233374.0
7,ind_64,49360,7162,14127,63523.0,4202.0,33578.0,61422.0,233374.0
8,ind_66,48800,7022,13670,63800.0,4194.0,33712.0,62176.0,233374.0
9,ind_68,48387,6967,13320,64170.0,4294.0,33639.0,62597.0,233374.0
10,ind_70,47830,6751,12870,64335.0,4155.0,33763.0,63670.0,233374.0
11,ind_72,47157,6773,12345,64968.0,4093.0,33692.0,64346.0,233374.0
12,ind_74,46744,6466,12183,65002.0,4133.0,34145.0,64701.0,233374.0
13,ind_76,46287,6438,11774,65048.0,4041.0,34124.0,65662.0,233374.0
14,ind_78,45667,6249,11480,65307.0,3957.0,34269.0,66445.0,233374.0
15,ind_80,45250,6160,11185,65168.0,3922.0,34205.0,67484.0,233374.0
16,ind_82,44807,6117,10818,65735.0,3886.0,34232.0,67779.0,233374.0
17,ind_84,44381,5971,10522,65786.0,3971.0,34443.0,68300.0,233374.0
18,ind_86,43901,5870,10375,65618.0,3758.0,34275.0,69577.0,233374.0
19,ind_88,43494,5788,9949,65990.0,3836.0,34565.0,69752.0,233374.0
20,ind_90,42911,5757,9793,66232.0,3817.0,34490.0,70374.0,233374.0
21,ind_92,42532,5582,9334,66446.0,3806.0,34486.0,71188.0,233374.0
22,ind_94,42018,5531,9150,66632.0,3632.0,34625.0,71786.0,233374.0
23,ind_96,41643,5395,8888,66560.0,3754.0,34680.0,72454.0,233374.0
24,ind_98,41190,5322,8768,66491.0,3659.0,34653.0,73291.0,233374.0
25,ind_100,40872,5248,8367,66780.0,3647.0,34666.0,73794.0,233374.0
26,ind_102,40438,5184,8209,66836.0,3602.0,34785.0,74320.0,233374.0
27,ind_104,40085,5053,8068,66553.0,3527.0,34875.0,75213.0,233374.0
28,ind_106,39619,5047,7890,66795.0,3503.0,34868.0,75652.0,233374.0
29,ind_108,39238,4966,7649,66939.0,3493.0,34862.0,76227.0,233374.0
30,ind_110,38972,4844,7512,66748.0,3444.0,34756.0,77098.0,233374.0
31,ind_112,38543,4723,7227,67084.0,3452.0,34977.0,77368.0,233374.0
32,ind_114,37981,4657,7123,66836.0,3517.0,34951.0,78309.0,233374.0
33,ind_116,37900,4729,7019,66980.0,3397.0,34683.0,78666.0,233374.0
34,ind_118,37460,4616,6780,66800.0,3293.0,34743.0,79682.0,233374.0
35,ind_120,37062,4552,6633,67088.0,3372.0,34901.0,79766.0,233374.0
36,ind_150,32424,3697,4567,66858.0,2910.0,34735.0,88183.0,233374.0
37,ind_180,28761,3123,3286,65725.0,2596.0,34483.0,95400.0,233374.0
38,ind_210,25543,2540,2326,63386.0,2359.0,33786.0,103434.0,233374.0
39,ind_240,22864,2151,1747,61168.0,2063.0,32946.0,110435.0,233374.0
40,ind_270,20764,1820,1342,58546.0,1775.0,32256.0,116871.0,233374.0
41,ind_300,19038,1599,888,56220.0,1542.0,31355.0,122732.0,233374.0
